short_question,short_answer
"내 아내가 나를 항상 바람피우고 있다고 탓하고, 내 의도와는 다르게 무례하다고 말해. 예를 들어, 직장에서 누군가를 ""다정한 사랑""이라고 부를 때도 빙자함. 그녀는 항상 바람을 피우는 것으로 나를 지적하고, 그녀가 잘못했다고는 결코 말하지 않는다. 그녀에게 이해시키려면 어떻게 해야 할까?,",안녕. 네 아내의 실수를 인정하지 않아 당신에게는 상당히 괴로운 일일 것입니다. 이는 관계에서 자신을 부족하게 느끼게 할 수 있고 이는 장기적으로 당신의 관계에 해를 끼칠 수 있습니다. 이야기만으로 보았을 땐 세 가지 주요 문제가 있습니다.
먼 거리 연애 중이에요. 최근 그의 핸드폰을 봤는데 연락을 많이 주고받은 사람 중 한 명은 여직원이에요. 이 상황에 어떻게 대처해야 할까요?,"가까운 관계에서는 그와의 인연에 대한 질문을 할 자격이 있어요. 질문은 연인 간의 연결과 신뢰를 쌓는 데 도움을 줍니다. 질문을 통해 그의 반응을 보고 감정적 안전감과 신뢰를 느낄 수 있는지 파악할 수 있을 거예요. 그의 대답에 따라 더 강한 연애 관계를 구축할지, 서로 열린 대화를 통해 신뢰를 쌓아갈지 결정하면 돼요."
"질문 : 먼 거리 연애를 지속하는 방법이 쉽지 않아. 내 남자친구와 사랑하고 있고, 그도 나를 사랑한다고 하는데, 복잡해. 다른 사람을 만나지 않겠다고 했지만 두려워. 어떻게 관계를 유지할 수 있을까?,","먼 거리 연애를 유지하는 방법을 잘 질문했어. 올바른 의사소통, 헌신, 이해로 장거리 커플은 많은 가용성과 밀접한 관계를 유지할 수 있어. 관계의 ‘복잡함'에 대해 자세히 알지 못하는데, 남자친구가 너를 믿지 않게 만든 충분한 이유가 있는지 알고 싶어. 과거에 너를 속인 적이 있었거나, 다른 사람에 대한 로맨틱한 관심을 보여 너를 잃을까봐 두렵게 만든 적이 있는지 궁금해. 또는 그냥 불안하고 미지에 기반한 공포인지 파악해야 해. 만약 뒤자리가 사실이라면 너를 보호하고, 관계 속에서 신뢰를 구축하려면 그에 대해 이야기해야할 필요가 있을 수도 있어. 대화를 돕기 위해 그에게 어떤 지원이 필요한지 생각해볼 필요가 있어. 자주 연락하기를 원하거나, 그의 삶에 더 많이 포함되길 원하거나, 명확한 헌신을 원하게 생각할지도 몰라.과연, 모든 관계를 유지하는데 정기적인 소통, 이해, 배려가 필요하지만, 특히 장거리 관계에 있어서 그것이 더욱 중요해."
가족에 대한 부정적인 감정이 지속되는 이유가 뭘까요?,"가족과의 관계가 자존감과 자아 가치에 영향을 줄 수 있어요. 가족과 서로 어떤 부분에서 불행한 지 탐구해볼 필요가 있을 거에요. 혹시 듣지 못 받는다고 느끼거나 지지받지 않다고 느낀다면, 이를 적절히 대처할 수 있는 상담사와 대화하는 것이 도움이 될 수 있어요."
"내 관계에서 무척 소유욕이 강한데, 친구관계에 해를 끼치고 있어. 내 안에 숨은 문제를 어떻게 해결할 수 있을까?","안녕. 너는 무언가 소유욕을 느끼는 사람의 숨은 문제를 깨달을 수 있다는 것이 좋아. 그 근본에는 두려움이 있다. 누군가를 잃을까 봐 두려워하거나 혼자 남을까 봐 두려워하거나, 부족하다고 느끼지 않을까 봐 두려워하는 것이다. 그 모든 두려움은 자존감을 낮추고, 다른 사람을 통제해야 한다고 느끼게 만들기도 해. 하지만 다른 사람을 통제하려고 한다고 해도, 그들은 멀어질 뿐이야. 악순환 맞지? 나는 그 숨은 생각 방식을 바꾸는 인지 치료를 추천할게. 이 과제로 시작할 수 있어. 나에 대해 생각하는 모든 것을 긍정적인 것과 아닌 것을 적어. 그리고 그 부정적인 것들을 긍정적으로 재작성 해봐. 예를 들어, ""나는 너무 강요적""이라고 생각하는 것을 ""나는 당돌하고 내가 원하는 것을 놓치지 않는다""로 바꿔봐. 우리는 우리 자신에 대해 부정적으로 생각하기 쉬우니까, 이러한 변화를 하는 것이 힘들 수 있어. 믿을 수 있는 누군가에게 도움을 청할 수도 있어. 그들은 아마 당신을 당신이 본 것과는 다르게 볼 것이기 때문에. 더 나아가서 좋은 인지 치료사를 찾으면 더 도움이 될 수 있지만, 현재로서는 그런 선택지가 없다면 많은 자기 도움 서적과 웹사이트가 있어. 너는 이미 첫걸음을 내디따른 거니 계속 전진해."
"내 전애들과 헤어질 때마다 매우 힘들었어. 그들이 갑자기 사라지는 거야. 그 중 한 명과 난 한번도 마무리를 하지 못해 정말 정신적으로 파괴되었어. 나에게 뭔가 문제가 있음을 알지만 어떻게 나아지기 시작해야 할지도 몰라.,","일반적으로 고객과 작업할 때, Albert Ellis가 개발한 A-B-C 모델을 사용합니다. 그 이론은 사건을 컨트롤할 수 없지만 해당 사건과 연관된 감정에 대한 반응을 조절할 수 있다고 말합니다. 이 모델을 사용해서 부정적인 생각 패턴을 교체한다면, 전반적인 태도와 기분이 개선될 것입니다. 도움이 되는 책이나 지역에서의 지원 단체를 찾아보는 것도 좋습니다."
정신적인 문제와 과거 사건으로 인해 심리 상태가 안 좋아서 센세이션을 받아야 할까 걱정 돼. 의사에게 상담을 받을지 물어보는 방법을 잘 모르겠어.,"의사에게 이야기하는 것은 어려울 수 있지만, 너만의 전문가임을 기억해. 우수한 의료 전문가는 네가 스스로의 건강을 저지르기 중요성을 인지할 거야. 솔직할 때, 그게 종종 최선의 방법이야. 걱정되는 점을 의사에게 알리고 무엇이 도와줄 것 같은지 말해봐. 상담에서 다루고 싶은 구체적인 문제가 있다면, 의사에게 알려줘. 그리고 추천 받기 위해 명확히 직접 요청해도 돼.모든 게 조금 압박감을 줄 수 있지만, 의사와 얘기할 때 지지를 제공하기 위해 가족이나 애인과 함께 가면 도움이 될 수도 있어. 이미 조언을 구한 첫걸음을 내딛은 것은 멋지다. 올바른 길에 서 있는 거야."
"11년째 결혼한데 2년 동안 서로 멀어졌어. 남편이 나보다 직장에서 ""친구""들에게 더 감정을 쏟는 것 같아. 너무 외로워서 싸늘한 느낌이 들어. 다시 연결될 방법이 있을까요?","혼자서 해결할 수 있으면 좋겠지만, 부부 상담이 필요할 지도 몰라. 'Hold Me Tight: 7 Conversations for a Lifetime of Love'는 좋은 자기 도움 책으로 추천돼. 감정 중심 치료가 필요하면 과학적으로 검증된 부부 상담사를 찾아보세요."
부모와 상담사가 아이에게 약을 투여하고 거짓말을 만들어 이를 이용해 다른 부모의 보호자 방문을 막을 때 어떻게 해야 하나요?,"이런 상황은 심각할 수 있어요. 중요한 건 아이가 안전한지 확인하는 것입니다. 아동이 위험에 처했다고 의심되면 관할 지역 법 집행 기관이나 아동보호 서비스에 신고하는 것이 좋습니다. 만일 아이가 위험에 처하지 않은 것으로 생각된다면, 상담사의 부적절한 행동을 주의 당국에 신고할 수 있습니다."
죽은 뒤의 삶을 생각하면 불안해,너무나 일상적인 걱정. 누구나 알 수 없는 미래에 대해 불안해하는 순간이 있어. 명상 같은 실천이 도움 될 수 있겠어. 현재에 집중해주는 설명이 도움 될 거야. 걱정이 심해진다면 전문가와 대화해봐.
"내가 너무 불안해, 그리고 왜 그런지 모르겠어. 혼자 아무것도 할 수 없는 것 같아. 아웃컴을 두려워해서 그렇다고 생각돼.","불안 증상을 줄이기 위해, 불안 장애를 다루는 전문가 치료사를 찾는 것이 좋아. 일상적인 명상, 긍정적인 자기 대화, 두려운 상황에 노출되는 것 등의 방법을 시도해볼 수 있어. 이것이 도움이 되기를 바래. 함께 고민을 나누며 자기 방법론을 배우는 세션은 큰 도움이 될 거야."
"엄마가 조카를 돌봐주고 있어, 매일 불평하면서 나에게 전화해. 더 이상 들을 수 없어.",엄마가 매일 조카 돌봄에 대해 불평하는 것을 들어주는 것이 힘들어하는 것은 이해할 수 있어. 가벼운 경계 설정을 통해 건강한 균형을 유지할 필요가 있을 것 같아.
